gene	accession	hmmsource
K00265_1.4.1.13,1.4.1.14	HMMsoil12189	FOAM_DB
K00265_1.4.1.13,1.4.1.14	HMMsoil12190	FOAM_DB
K02305	HMMsoil12490	FOAM_DB
K00376_1.7.2.4	HMMsoil12503	FOAM_DB
K00261_1.4.1.3	HMMsoil12389	FOAM_DB
K00362_1.7.1.4	HMMsoil12464	FOAM_DB
K00363_1.7.1.4	HMMsoil12656	FOAM_DB
K00372_1.7.99.4	HMMsoil12658	FOAM_DB
K00362_1.7.1.4	HMMsoil12540	FOAM_DB
K00368_1.7.2.1	HMMsoil12795	FOAM_DB
K00266_1.4.1.13,1.4.1.14	HMMsoil12809	FOAM_DB
K00372,K02567_1.7.99.4	HMMsoil12941	FOAM_DB
K00360_1.7.1.1	HMMsoil13027	FOAM_DB
K00265_1.4.1.13,1.4.1.14	HMMsoil13070	FOAM_DB
K00371_1.7.99.4	HMMsoil13253	FOAM_DB
K00371_1.7.99.4	HMMsoil13262	FOAM_DB
K00265_1.4.1.13,1.4.1.14	HMMsoil13376	FOAM_DB
K01915_6.3.1.2	HMMsoil13350	FOAM_DB
K00262_1.4.1.4	HMMsoil13351	FOAM_DB
K00372_1.7.99.4	HMMsoil13500	FOAM_DB
K04015	HMMsoil13556	FOAM_DB
K00362_1.7.1.4	HMMsoil13577	FOAM_DB
K00362_1.7.1.4	HMMsoil13587	FOAM_DB
K04013	HMMsoil13591	FOAM_DB
K00368_1.7.2.1	HMMsoil13596	FOAM_DB
K10534_1.7.1.3	HMMsoil13552	FOAM_DB
K00362_1.7.1.4	HMMsoil13622	FOAM_DB
K00261_1.4.1.3	HMMsoil13624	FOAM_DB
K00372_1.7.99.4	HMMsoil13759	FOAM_DB
K00362_1.7.1.4	HMMsoil13862	FOAM_DB
K00362_1.7.1.4	HMMsoil13863	FOAM_DB
K00366,K00392_1.7.7.1,1.8.7.1	HMMsoil13873	FOAM_DB
K00371_1.7.99.4	HMMsoil13748	FOAM_DB
K00362_1.7.1.4	HMMsoil14069	FOAM_DB
K00266_1.4.1.13,1.4.1.14	HMMsoil14101	FOAM_DB
K00265_1.4.1.13,1.4.1.14	HMMsoil14006	FOAM_DB
K00372_1.7.99.4	HMMsoil14168	FOAM_DB
K00362_1.7.1.4	HMMsoil14374	FOAM_DB
K00370_1.7.99.4	HMMsoil14912	FOAM_DB
K00360_1.7.1.1	HMMsoil14407	FOAM_DB
K10945	HMMsoil14411	FOAM_DB
K10535_1.7.3.4	HMMsoil14646	FOAM_DB
K00374_1.7.99.4	HMMsoil14548	FOAM_DB
K00372_1.7.99.4	HMMsoil14625	FOAM_DB
K00371_1.7.99.4	HMMsoil14820	FOAM_DB
K00366_1.7.7.1	HMMsoil14693	FOAM_DB
K02591_1.18.6.1	HMMsoil14876	FOAM_DB
K00370_1.7.99.4	HMMsoil14881	FOAM_DB
K00368_1.7.2.1	HMMsoil14930	FOAM_DB
K00366_1.7.7.1	HMMsoil14931	FOAM_DB
K00360_1.7.1.1	HMMsoil14944	FOAM_DB
K00374_1.7.99.4	HMMsoil15103	FOAM_DB
K00373	HMMsoil15104	FOAM_DB
K00373	HMMsoil15120	FOAM_DB
K01915_6.3.1.2	HMMsoil15134	FOAM_DB
K00262_1.4.1.4	HMMsoil15136	FOAM_DB
K00265_1.4.1.13,1.4.1.14	HMMsoil15139	FOAM_DB
K15864	HMMsoil15196	FOAM_DB
K00373	HMMsoil15207	FOAM_DB
K00362_1.7.1.4	HMMsoil15210	FOAM_DB
K00265_1.4.1.13,1.4.1.14	HMMsoil15215	FOAM_DB
K00372_1.7.99.4	HMMsoil15945	FOAM_DB
K00362_1.7.1.4	HMMsoil15951	FOAM_DB
K15864,K00368_1.7.2.1,1.7.99.1	HMMsoil15985	FOAM_DB
K00261_1.4.1.3	HMMsoil15576	FOAM_DB
K00362_1.7.1.4	HMMsoil15617	FOAM_DB
K00371_1.7.99.4	HMMsoil15645	FOAM_DB
K00265_1.4.1.13,1.4.1.14	HMMsoil15714	FOAM_DB
K00370_1.7.99.4	HMMsoil15838	FOAM_DB
K00265_1.4.1.13,1.4.1.14	HMMsoil15871	FOAM_DB
K00374_1.7.99.4	HMMsoil15901	FOAM_DB
K00372_1.7.99.4	HMMsoil15915	FOAM_DB
K00368_1.7.2.1	HMMsoil15929	FOAM_DB
K00261_1.4.1.3	HMMsoil16014	FOAM_DB
K00372_1.7.99.4	HMMsoil16246	FOAM_DB
K00376_1.7.2.4	HMMsoil16136	FOAM_DB
K00362_1.7.1.4	HMMsoil16288	FOAM_DB
K00261_1.4.1.3	HMMsoil16290	FOAM_DB
K00370_1.7.99.4	HMMsoil16436	FOAM_DB
K04014	HMMsoil16424	FOAM_DB
K00261_1.4.1.3	HMMsoil16559	FOAM_DB
K00362_1.7.1.4	HMMsoil16676	FOAM_DB
K02567,K00372_1.7.99.4	HMMsoil16689	FOAM_DB
K00360_1.7.1.1	HMMsoil16696	FOAM_DB
K00373	HMMsoil16763	FOAM_DB
K00372_1.7.99.4	HMMsoil16767	FOAM_DB
K00372,K00369_1.7.99.4	HMMsoil16779	FOAM_DB
K00362_1.7.1.4	HMMsoil16781	FOAM_DB
K00368,K02275_1.7.2.1,1.9.3.1	HMMsoil16786	FOAM_DB
K00362_1.7.1.4	HMMsoil16828	FOAM_DB
K10535_1.7.3.4	HMMsoil16921	FOAM_DB
K00360_1.7.1.1	HMMsoil16999	FOAM_DB
K00370_1.7.99.4	HMMsoil17045	FOAM_DB
K00266_1.4.1.13,1.4.1.14	HMMsoil17395	FOAM_DB
K00372_1.7.99.4	HMMsoil17397	FOAM_DB
K00265_1.4.1.13,1.4.1.14	HMMsoil17586	FOAM_DB
K00362_1.7.1.4	HMMsoil17474	FOAM_DB
K00362_1.7.1.4	HMMsoil17538	FOAM_DB
K00371,K08346_1.7.99.4	HMMsoil17541	FOAM_DB
K00360_1.7.1.1	HMMsoil17566	FOAM_DB
K00265_1.4.1.13,1.4.1.14	HMMsoil17100	FOAM_DB
K00371,K08346,K15906_1.7.99.4	HMMsoil17257	FOAM_DB
K00372_1.7.99.4	HMMsoil17274	FOAM_DB
K00265_1.4.1.13,1.4.1.14	HMMsoil17299	FOAM_DB
K00368_1.7.2.1	HMMsoil17667	FOAM_DB
K00362_1.7.1.4	HMMsoil17815	FOAM_DB
K00372_1.7.99.4	HMMsoil17849	FOAM_DB
K00366_1.7.7.1	HMMsoil17858	FOAM_DB
K04014	HMMsoil17862	FOAM_DB
K00372_1.7.99.4	HMMsoil17865	FOAM_DB
K00266_1.4.1.13,1.4.1.14	HMMsoil18054	FOAM_DB
K00362_1.7.1.4	HMMsoil18093	FOAM_DB
K00284_1.4.7.1	HMMsoil18625	FOAM_DB
K00372_1.7.99.4	HMMsoil18637	FOAM_DB
K00362_1.7.1.4	HMMsoil18591	FOAM_DB
K00373	HMMsoil18388	FOAM_DB
K00265_1.4.1.13,1.4.1.14	HMMsoil18390	FOAM_DB
K00362_1.7.1.4	HMMsoil18404	FOAM_DB
K00372_1.7.99.4	HMMsoil18409	FOAM_DB
K00265_1.4.1.13,1.4.1.14	HMMsoil18426	FOAM_DB
K00266_1.4.1.13,1.4.1.14	HMMsoil18986	FOAM_DB
K00362_1.7.1.4	HMMsoil18924	FOAM_DB
K00370,K08345,K15905_1.7.99.4	HMMsoil18927	FOAM_DB
K00372_1.7.99.4	HMMsoil18950	FOAM_DB
K00266_1.4.1.13,1.4.1.14	HMMsoil18984	FOAM_DB
K02305	HMMsoil18843	FOAM_DB
K04015	HMMsoil18920	FOAM_DB
K00362_1.7.1.4	HMMsoil19218	FOAM_DB
K00366_1.7.7.1	HMMsoil19110	FOAM_DB
K00362_1.7.1.4	HMMsoil19285	FOAM_DB
K00266_1.4.1.13,1.4.1.14	HMMsoil19291	FOAM_DB
K00371_1.7.99.4	HMMsoil19159	FOAM_DB
K10534_1.7.1.3	HMMsoil19177	FOAM_DB
K00362_1.7.1.4	HMMsoil19209	FOAM_DB
K15864_1.7.2.1,1.7.99.1	HMMsoil19242	FOAM_DB
K00372_1.7.99.4	HMMsoil19266	FOAM_DB
K00372_1.7.99.4	HMMsoil19268	FOAM_DB
K00362_1.7.1.4	HMMsoil19316	FOAM_DB
K00360_1.7.1.1	HMMsoil19512	FOAM_DB
K00360_1.7.1.1	HMMsoil19528	FOAM_DB
K00372_1.7.99.4	HMMsoil19727	FOAM_DB
K00265_1.4.1.13,1.4.1.14	HMMsoil19572	FOAM_DB
K00362_1.7.1.4	HMMsoil19576	FOAM_DB
K00362_1.7.1.4	HMMsoil19751	FOAM_DB
K00368_1.7.2.1	HMMsoil19788	FOAM_DB
K00362_1.7.1.4	HMMsoil19815	FOAM_DB
K00368_1.7.2.1	HMMsoil19834	FOAM_DB
K00366_1.7.7.1	HMMsoil20359	FOAM_DB
K00362_1.7.1.4	HMMsoil20362	FOAM_DB
K00362_1.7.1.4	HMMsoil19853	FOAM_DB
K00261_1.4.1.3	HMMsoil19973	FOAM_DB
K00265_1.4.1.13,1.4.1.14	HMMsoil20027	FOAM_DB
K00363_1.7.1.4	HMMsoil20078	FOAM_DB
K00362,K00382_1.7.1.4,1.8.1.4	HMMsoil20081	FOAM_DB
K00360_1.7.1.1	HMMsoil20100	FOAM_DB
K00265,K00264_1.4.1.13,1.4.1.14	HMMsoil20114	FOAM_DB
K00262_1.4.1.4	HMMsoil20115	FOAM_DB
K00265_1.4.1.13,1.4.1.14	HMMsoil20239	FOAM_DB
K00362_1.7.1.4	HMMsoil20278	FOAM_DB
K00371_1.7.99.4	HMMsoil20299	FOAM_DB
