gene	accession	hmmsource
KO:K08282,KO:K08884_2.7.11.1	HMMsoil475	FOAM_DB
KO:K04518_4.2.1.51	HMMsoil476	FOAM_DB
KO:K00123_1.2.1.2	HMMsoil478	FOAM_DB
KO:K05366_2.4.1.-,3.4.-.-	HMMsoil479	FOAM_DB
KO:K01187_3.2.1.20	HMMsoil480	FOAM_DB
KO:K01179_3.2.1.4	HMMsoil481	FOAM_DB
KO:K01007_2.7.9.2	HMMsoil270	FOAM_DB
KO:K01959_6.4.1.1	HMMsoil271	FOAM_DB
KO:K02031,KO:K02032,KO:K13896	HMMsoil272	FOAM_DB
KO:K02013_3.6.3.34	HMMsoil273	FOAM_DB
KO:K02363_2.7.7.58,2.3.1.-	HMMsoil275	FOAM_DB
KO:K00172_1.2.7.1	HMMsoil276	FOAM_DB
KO:K01784_5.1.3.2	HMMsoil277	FOAM_DB
KO:K01176_3.2.1.1	HMMsoil278	FOAM_DB
KO:K09687	HMMsoil279	FOAM_DB
KO:K09687	HMMsoil280	FOAM_DB
KO:K09817_3.6.3.-	HMMsoil281	FOAM_DB
KO:K02003	HMMsoil282	FOAM_DB
KO:K00928_2.7.2.4	HMMsoil283	FOAM_DB
KO:K01996	HMMsoil284	FOAM_DB
KO:K00146_1.2.1.39	HMMsoil285	FOAM_DB
KO:K08483_2.7.3.9	HMMsoil286	FOAM_DB
KO:K09697	HMMsoil287	FOAM_DB
KO:K09697,KO:K01990	HMMsoil288	FOAM_DB
KO:K01928_6.3.2.13	HMMsoil289	FOAM_DB
KO:K10019	HMMsoil290	FOAM_DB
KO:K00265_1.4.1.13,1.4.1.14	HMMsoil291	FOAM_DB
KO:K01995	HMMsoil292	FOAM_DB
KO:K02054	HMMsoil293	FOAM_DB
KO:K02000_3.6.3.32	HMMsoil294	FOAM_DB
KO:K09691	HMMsoil295	FOAM_DB
KO:K02049	HMMsoil297	FOAM_DB
KO:K03372_2.3.1.-	HMMsoil298	FOAM_DB
KO:K01515,KO:K13987_3.6.1.13,3.6.1.-	HMMsoil299	FOAM_DB
KO:K03519_1.2.99.2	HMMsoil300	FOAM_DB
KO:K11154_1.1.1.-	HMMsoil301	FOAM_DB
KO:K11260_1.2.99.5	HMMsoil303	FOAM_DB
KO:K00135_1.2.1.16	HMMsoil302	FOAM_DB
KO:K07250_2.6.1.19,2.6.1.22	HMMsoil304	FOAM_DB
KO:K09812	HMMsoil305	FOAM_DB
KO:K01750_4.3.1.12	HMMsoil306	FOAM_DB
KO:K02052	HMMsoil307	FOAM_DB
KO:K01995	HMMsoil308	FOAM_DB
KO:K09687	HMMsoil309	FOAM_DB
